ResourceName,SettlementPointName,ResourceType
AJAXWIND_UNIT1,AJAXWIND_RN,WIND
AJAXWIND_UNIT2,AJAXWIND_RN,WIND
AMADEUS1_UNIT1,AMADEUS_ALL,WIND
AMADEUS1_UNIT2,AMADEUS_ALL,WIND
AMADEUS2_UNIT3,AMADEUS_ALL,WIND
ANACACHO_ANA,ANACACHO_ANA,WIND
ANSON1_UNIT1,ANSON1_ALL,PVGR
ANSON1_UNIT2,ANSON1_ALL,PVGR
ARAGORN_UNIT1,ARAGORN_RN,PVGR
ASTRA_UNIT1,HRFDWIND_ALL,WIND
ASTRA_UNIT1,ASTRA_RN,WIND
AVIATOR_UNIT1,AVIAT_ALL,WIND
AVIATOR_UNIT2,AVIAT_ALL,WIND
AZURE_SOLAR1,AZURE_RN,PVGR
AZURE_SOLAR2,AZURE_RN,PVGR
BAFFIN_UNIT1,BAFFIN_ALL,WIND
BAFFIN_UNIT2,BAFFIN_ALL,WIND
BAIRDWND_UNIT1,BAIRDWND_ALL,WIND
BAIRDWND_UNIT2,BAIRDWND_ALL,WIND
BARROW_UNIT1,BARROW_ALL,WIND
BARROW_UNIT2,BARROW_ALL,WIND
BBREEZE_UNIT1,BBREEZE_1_2,WIND
BBREEZE_UNIT2,BBREEZE_1_2,WIND
BCATWIND_WIND_1,BCATWD_WD_1,WIND
BLACKJAK_UNIT1,BLACKJAK_RN,WIND
BLACKJAK_UNIT2,BLACKJAK_RN,WIND
BLSUMIT3_UNIT_17,BLSMT1_5_A_6,WIND
BLSUMIT3_UNIT_25,BLSMT1_5_A_6,WIND
BLSUMMIT_BLSMT1_5,BLSMT1_5_A_6,WIND
BLSUMMIT_BLSMT1_6,BLSMT1_5_A_6,WIND
BLSUMMIT_UNIT2_17,BLSMT1_5_A_6,WIND
BLSUMMIT_UNIT2_25,BLSMT1_5_A_6,WIND
BOOTLEG_UNIT1,BOOTLEG_UN1,PVGR
BORDAS_JAVEL18,BORDAS_345,WIND
BORDAS_JAVEL20,BORDAS_345,WIND
BORDAS2_JAVEL2_A,BORDAS_345,WIND
BORDAS2_JAVEL2_B,BORDAS_345,WIND
BORDAS2_JAVEL2_C,BORDAS_345,WIND
BRAZ_WND_WND1,BRAZ_WND_ALL,WIND
BRAZ_WND_WND2,BRAZ_WND_ALL,WIND
BRISCOE_WIND,BRISCOE_WIND,WIND
BRTSW_BCW1,BRTSW_BCW1,WIND
BUCKTHRN_UNIT1,BUCKTHRN_RN,WIND
BUCKTHRN_UNIT2,BUCKTHRN_RN,WIND
BUFF_GAP_UNIT1,BUFF_GAP_ALL,WIND
BUFF_GAP_UNIT2_1,BUFF_GAP_ALL,WIND
BUFF_GAP_UNIT2_2,BUFF_GAP_ALL,WIND
BUFF_GAP_UNIT3,BUFF_GAP_ALL,WIND
BULLCRK_WND1,BULLCRK_1_2,WIND
BULLCRK_WND2,BULLCRK_1_2,WIND
CABEZON_WIND1,CABEZON_ALL,WIND
CABEZON_WIND2,CABEZON_ALL,WIND
CALLAHAN_WND1,CALLAHA_WND1,WIND
CAMWIND_UNIT1,CAMWIND_RN,WIND
CAPRIDG4_BB_PV,CAPRIDG4_CR4,PVGR
CAPRIDG4_BB2_PV1,CAPRIDG4_CR4,PVGR
CAPRIDG4_BB2_PV2,CAPRIDG4_CR4,PVGR
CAPRIDG4_CR4,CAPRIDG4_CR4,WIND
CAPRIDGE_CR1,CAPRIDGE_ALL,WIND
CAPRIDGE_CR2,CAPRIDGE_ALL,WIND
CAPRIDGE_CR3,CAPRIDGE_ALL,WIND
CASL_GAP_UNIT1,CASL_GAP_UN1,PVGR
CEDROHIL_CHW1,CEDROHI_CHW1,WIND
CEDROHIL_CHW2,CEDROHI_CHW1,WIND
CFLATS_U1,CFLATS_UNIT,WIND
CHALUPA_UNIT1,CHALUP_UNIT1,WIND
CHALUPA_UNIT1,CHALUP_ALL,WIND
CHALUPA_UNIT2,CHALUP_ALL,WIND
CHAMPION_UNIT1,TKWSW_CHAMP,WIND
CN_BRKS_UNIT_1,CN_BRKS_UNT1,WIND
CONIGLIO_UNIT1,CONIGLIO_RN,PVGR
CORAZON_UNIT1,CORAZON_RN,PVGR
COTPLNS_COTTONPL,COTPLNS_RN,WIND
COTPLNS_OLDSETLR,COTPLNS_RN,WIND
COTTON_PAP2,COTTON_PAP2,WIND
COYOTE_W_UNIT1,DERMOTT_ALL,WIND
COYOTE_W_UNIT2,DERMOTT_ALL,WIND
COYOTE_W_UNIT3,DERMOTT_ALL,WIND
CRANELL_UNIT1,CRANELL_ALL,WIND
CSEC_CSECG1,CSC_CSECG1_2,WIND
CSEC_CSECG2,CSC_CSECG1_2,WIND
DERMOTT_UNIT1,DERMOTT_ALL,WIND
DERMOTT_UNIT2,DERMOTT_ALL,WIND
DEWOLF_UNIT1,AVIAT_ALL,WIND
DIGBY_UNIT1,ELECTRAW_1_2,WIND
DIGBY_UNIT2,ELECTRAW_1_2,WIND
E_BLACK_UNIT_1,E_BLACK_RN,PVGR
ECLIPSE_UNIT1,ECLIPSE_UN1,PVGR
EL_RAYO_UNIT1,EL_RAYO_ALL,WIND
EL_RAYO_UNIT2,EL_RAYO_ALL,WIND
ELARA_SL_UNIT1,ERSL_RN,PVGR
ELB_ELBCREEK,ELB_ELBCREEK,WIND
ENAS_ENA1,ENAS_ENA1,WIND
EUNICE_PV1,EUNICE_ALL,PVGR
EUNICE_PV2,EUNICE_ALL,PVGR
EXGNSND_WIND_1,EXGNSND_RN,WIND
EXGNWTL_WIND_1,EXGNWTL_1,WIND
FERMI_WIND1,FERMI_ALL,WIND
FERMI_WIND2,FERMI_ALL,WIND
FLTCK_SSI,FLTCK_SSI,WIND
FLUVANNA_UNIT1,FLUVANNA_1_2,WIND
FLUVANNA_UNIT2,FLUVANNA_1_2,WIND
FOARDCTY_UNIT1,FOARDCTY_ALL,WIND
FOARDCTY_UNIT2,FOARDCTY_ALL,WIND
FTWIND_UNIT_1,FTWIND_UNIT1,WIND
FWLR_SLR_UNIT1,FWLR_SLR_1,PVGR
GALLOWAY_SOLAR1,GALO_RN1,PVGR
GOAT_GOATWIN2,GOA_GOATWIND,WIND
GOAT_GOATWIND,GOA_GOATWIND,WIND
GOPHER_UNIT1,FLUVANNA_1_2,WIND
GOPHER_UNIT2,FLUVANNA_1_2,WIND
GPASTURE_WIND_I,GPASTURE_ALL,WIND
GRANDVW1_COLA,GRANDVW1_A_B,WIND
GRANDVW1_COLB,GRANDVW1_A_B,WIND
GRANDVW1_GV1A,GRANDVW1_A_B,WIND
GRANDVW1_GV1B,GRANDVW1_A_B,WIND
GREASWOD_UNIT1,GREASWOD_ALL,PVGR
GREASWOD_UNIT2,GREASWOD_ALL,PVGR
GRIF_TRL_UNIT1,GRIF_TRL_RN,WIND
GRIF_TRL_UNIT2,GRIF_TRL_RN,WIND
GUNMTN_G1,GUNMTN_NODE,WIND
GWEC_GWEC_G1,GWEC_G1,WIND
H_HOLLOW_WND1,H_HOLLO_WND1,WIND
HARALD_UNIT1,NBOHR_RN,WIND
HELIOS_UNIT1,HELIOS_RN,PVGR
HHGT_CALLAHAN,HHGT_KENDAL,WIND
HHGT_HHOLLOW1,HHGT_KENDAL,WIND
HHGT_HHOLLOW2,HHGT_KENDAL,WIND
HHGT_HHOLLOW3,HHGT_KENDAL,WIND
HHGT_HHOLLOW4,HHGT_KENDAL,WIND
HHOLLOW2_WIND1,HHOLLW2_WND1,WIND
HHOLLOW3_WND_1,HHOLLW3_WND1,WIND
HHOLLOW4_WND1,HHOLLW4_WND1,WIND
HI_LONE_WGR1A,HI_LONE_ALL,WIND
HI_LONE_WGR1B,HI_LONE_ALL,WIND
HI_LONE_WGR1C,HI_LONE_ALL,WIND
HI_LONE_WGR2,HI_LONE_ALL,WIND
HI_LONE_WGR2A,HI_LONE_ALL,WIND
HI_LONE_WGR3,HI_LONE_ALL,WIND
HI_LONE_WGR4,HI_LONE_ALL,WIND
HICKMAN_G1_J01,HICK_G1_G2,WIND
HICKMAN_G1_J02,HICK_G1_G2,WIND
HICKMAN_G2_J01,HICK_G1_G2,WIND
HICKMAN_G2_J02,HICK_G1_G2,WIND
HOLSTEIN_SOLAR1,HOLSTEIN_ALL,PVGR
HOLSTEIN_SOLAR2,HOLSTEIN_ALL,PVGR
HORSECRK_UNIT1,HORSECRK_RN,WIND
HORSECRK_UNIT2,HORSECRK_RN,WIND
HOVEY_UNIT1,HOVEY_GEN,PVGR
HOVEY_UNIT2,HOVEY_GEN,PVGR
HRFDWIND_JRDWIND1,HRFDWIND_ALL,WIND
HRFDWIND_JRDWIND2,HRFDWIND_ALL,WIND
HRFDWIND_WIND_G,HRFDWIND_ALL,WIND
HRFDWIND_WIND_V,HRFDWIND_ALL,WIND
HWF_HWFG1,HWF_HWFG1,WIND
IMPACT_UNIT1,IMP_RN1,PVGR
INDL_INADALE1,IND_INADALE1,WIND
INDL_INADALE2,IND_INADALE1,WIND
INDNENR_INDNENR,IN_INDNENR,WIND
INDNENR_INDNENR_2,IN_INDNENR_2,WIND
INDNENR_UNIT_1B,IN_INDNENR,WIND
INDNENR_UNIT_2B,IN_INDNENR_2,WIND
INDNNWP_INDNNWP_J01,INDN_INDNNWP,WIND
INDNNWP_INDNNWP_J02,INDN_INDNNWP,WIND
INDNNWP_INDNNWP2,INDN_INDNNWP,WIND
JUNO_UNIT1,JUNO_ALL,PVGR
JUNO_UNIT2,JUNO_ALL,PVGR
KARAKAW1_UNIT1,KARAKAW1_1,WIND
KARAKAW1_UNIT2,KARAKAW1_1,WIND
KARAKAW2_UNIT3,KARAKAW2_1,WIND
KEECHI_U1,KEECHI_U1,WIND
KELAM_SL_UNIT1,KELAMSL_U1,PVGR
KEO_KEO_SM1,KEO_KEO_SM1,WIND
KEO_SHRBINO2,KEO_KEO_SM1,WIND
KING_NE_KINGNE,KINGE_ALL,WIND
KING_NE_KINGNE,KING_KINGNE,WIND
