UnitName,ResourceName,ResourceType,Zone,Capacity
BAFFIN WIND UNIT1,BAFFIN_UNIT1,WIND,COASTAL,100
BAFFIN WIND UNIT2,BAFFIN_UNIT2,WIND,COASTAL,102
BRUENNING'S BREEZE A,BBREEZE_UNIT1,WIND,COASTAL,120
BRUENNING'S BREEZE B,BBREEZE_UNIT2,WIND,COASTAL,108
CAMERON COUNTY WIND,CAMWIND_UNIT1,WIND,COASTAL,165
CHALUPA WIND,CHALUPA_UNIT1,WIND,COASTAL,173.3
CHAPMAN RANCH WIND IA (SANTA CRUZ),SANTACRU_UNIT1,WIND,COASTAL,150.6
CHAPMAN RANCH WIND IB (SANTA CRUZ),SANTACRU_UNIT2,WIND,COASTAL,98.4
EAST RAYMOND WIND (EL RAYO) U1,EL_RAYO_UNIT1,WIND,COASTAL,98
EAST RAYMOND WIND (EL RAYO) U2,EL_RAYO_UNIT2,WIND,COASTAL,96
ESPIRITU WIND,CHALUPA_UNIT2,WIND,COASTAL,25.2
GULF WIND I,TGW_T1,WIND,COASTAL,141.6
GULF WIND II,TGW_T2,WIND,COASTAL,141.6
KARANKAWA WIND 1A,KARAKAW1_UNIT1,WIND,COASTAL,103.3
KARANKAWA WIND 1B,KARAKAW1_UNIT2,WIND,COASTAL,103.3
KARANKAWA WIND 2,KARAKAW2_UNIT3,WIND,COASTAL,100.4
LOS VIENTOS WIND I,LV1_LV1A,WIND,COASTAL,200.1
LOS VIENTOS WIND II,LV2_LV2,WIND,COASTAL,201.6
MAGIC VALLEY WIND (REDFISH) 1A,REDFISH_MV1A,WIND,COASTAL,99.8
MAGIC VALLEY WIND (REDFISH) 1B,REDFISH_MV1B,WIND,COASTAL,103.5
MIDWAY WIND,MIDWIND_UNIT1,WIND,COASTAL,162.8
PALMAS ALTAS WIND,PALMWIND_UNIT1,WIND,COASTAL,144.9
PAPALOTE CREEK WIND,PAP1_PAP1,WIND,COASTAL,179.9
PAPALOTE CREEK WIND II,COTTON_PAP2,WIND,COASTAL,200.1
PENASCAL WIND 1,PENA_UNIT1,WIND,COASTAL,160.8
PENASCAL WIND 2,PENA_UNIT2,WIND,COASTAL,141.6
PENASCAL WIND 3,PENA3_UNIT3,WIND,COASTAL,100.8
PEYTON CREEK WIND,PEY_UNIT1,WIND,COASTAL,151.2
SAN ROMAN WIND,SANROMAN_WIND_1,WIND,COASTAL,95.2
