UNIT NAME,UNIT CODE,SETTLEMENT POINT NAME,FUEL,ZONE,YEAR,CAPACITY
COMANCHE PEAK U1,CPSES_UNIT1,CPSES_UNIT1,NUCLEAR,NORTH,1990,1222
COMANCHE PEAK U2,CPSES_UNIT2,CPSES_UNIT2,NUCLEAR,NORTH,1993,1209
SOUTH TEXAS U1,STP_STP_G1,STP_STP_G1,NUCLEAR,COASTAL,1988,1323.2
SOUTH TEXAS U2,STP_STP_G2,STP_STP_G2,NUCLEAR,COASTAL,1989,1310
COLETO CREEK,COLETO_COLETOG1,COL_COLETOG1,COAL,SOUTH,1980,655
FAYETTE POWER U1,FPPYD1_FPP_G1,FPPYD_FPP_G1,COAL,SOUTH,1979,603
FAYETTE POWER U2,FPPYD1_FPP_G2,FPPYD_FPP_G2,COAL,SOUTH,1980,603
FAYETTE POWER U3,FPPYD2_FPP_G3,FPPYD_FPP_G3,COAL,SOUTH,1988,444
J K SPRUCE U1,CALAVERS_JKS1,CALAVER_JKS1,COAL,SOUTH,1992,560
J K SPRUCE U2,CALAVERS_JKS2,CALAVER_JKS2,COAL,SOUTH,2010,785
LIMESTONE U1,LEG_LEG_G1,LEG_LEG_G1,COAL,NORTH,1985,824
LIMESTONE U2,LEG_LEG_G2,LEG_LEG_G2,COAL,NORTH,1986,836
MARTIN LAKE U1,MLSES_UNIT1,MLSES_UNIT1,COAL,NORTH,1977,815
MARTIN LAKE U2,MLSES_UNIT2,MLSES_UNIT2,COAL,NORTH,1978,820
MARTIN LAKE U3,MLSES_UNIT3,MLSES_UNIT3,COAL,NORTH,1979,820
OAK GROVE SES U1,OGSES_UNIT1A,OGSES_1,COAL,NORTH,2010,855
OAK GROVE SES U2,OGSES_UNIT2,OGSES_2,COAL,NORTH,2011,855
SAN MIGUEL U1,SANMIGL_G1,SAN_SANMIGG1,COAL,SOUTH,1982,391
SANDY CREEK U1,SCES_UNIT1,SCES_UNIT1,COAL,NORTH,2013,932.6
TWIN OAKS U1,TNP_ONE_TNP_O_1,TNP_TNP_O_1,COAL,NORTH,1990,155
TWIN OAKS U2,TNP_ONE_TNP_O_2,TNP_TNP_O_2,COAL,NORTH,1991,155
W A PARISH U5,WAP_WAP_G5,WAP_WAP_G5,COAL,HOUSTON,1977,664
W A PARISH U6,WAP_WAP_G6,WAP_WAP_G6,COAL,HOUSTON,1978,663
W A PARISH U7,WAP_WAP_G7,WAP_WAP_G7,COAL,HOUSTON,1980,577
W A PARISH U8,WAP_WAP_G8,WAP_WAP_G8,COAL,HOUSTON,1982,610
ARTHUR VON ROSENBERG 1 CTG 1,BRAUNIG_AVR1_CT1,BRA_AVR_CST1,GAS-CC,SOUTH,2000,164
ARTHUR VON ROSENBERG 1 CTG 2,BRAUNIG_AVR1_CT2,BRA_AVR1_CT2,GAS-CC,SOUTH,2000,164
