type,parameter,value
osm,queryname,ATL_OSM
osm,version,1
pcorr,queryname,ATL_PRC_CORR_MSG
pcorr,version,3
pcorr,market_run_id,ALL
res_listing,resource_id,ALL
res_listing,agge_type,ALL
res_listing,resource_type,ALL
res_listing,queryname,ATL_RESOURCE
res_listing,version,1
pnode_listing,queryname,ATL_PNODE
pnode_listing,version,1
pnode_listing,node_type,ALL
pnode_listing,Pnode_id,ALL
pnode_listing,CB_NODE_FLAG,ALL
apnode_listing,queryname,ATL_APNODE
apnode_listing,version,1
apnode_listing,APnode_id,ALL
apnode_listing,CB_NODE_FLAG,ALL
cb_listing,queryname,ATL_CBNODE
cb_listing,version,2
cb_listing,Pnode_id,ALL
ldf_listing,queryname,ATL_LDF
ldf_listing,version,1
master_gen_list,resource_id,ALL
master_gen_list,agge_type,ALL
master_gen_list,resource_type,ALL
master_gen_list,queryname,ATL_GEN_CAP_LST
master_gen_list,version,4
nqc_list,queryname,ATL_RES_ADQ_NET_QUAL_CAP
nqc_list,version,5
nqc_list,resource_id,ALL
ba_constraint_relax_limit,queryname,ATL_CNSTR_RLXN_THRESHOLD
ba_constraint_relax_limit,version,5
ba_constraint_relax_limit,baa_grp_id,ALL
pnode_mapping,queryname,ATL_PNODE_MAP
pnode_mapping,version,1
pnode_mapping,Pnode_id,ALL
as_mapping,queryname,ATL_AS_REGION_MAP
as_mapping,version,1
ruc_mapping,queryname,ATL_RUC_ZONE_MAP
ruc_mapping,version,1
tac_mapping,queryname,ATL_TAC_AREA_MAP
tac_mapping,version,1
tie_sp_mapping,queryname,ATL_ITC_SP
tie_sp_mapping,version,3
tie_sp_mapping,TIEPOINT_NAME,ALL
onpk_offpk_def,queryname,ATL_PEAK_ON_OFF
onpk_offpk_def,version,1
ba_sp_def,queryname,ATL_SP
ba_sp_def,version,3
ba_sp_def,baa_id,ALL
ba_tie_def,queryname,ATL_BAA_TIE
ba_tie_def,version,3
ba_tie_def,from_baa_id,ALL
ba_tie_def,to_baa_id,ALL
tie_sp_def,queryname,ATL_SP_TIE
tie_sp_def,version,3
tie_sp_def,TIE_NAME,ALL
ciso_ref_lmps,queryname,PRC_DS_REF
ciso_ref_lmps,version,3
ciso_ref_lmps,node_id,ALL
as_lmps,queryname,PRC_AS
as_lmps,market_run_id,DAM
as_lmps,version,1
as_lmps,anc_type,ALL
as_lmps,anc_region,ALL  
as_rt_lmps,queryname,PRC_INTVL_AS
as_rt_lmps,market_run_id,RTM
as_rt_lmps,version,1
as_rt_lmps,anc_type,ALL
as_rt_lmps,anc_region,ALL 
